,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.0926601613844099,0.003391060990118162,27.32482891178585,2.150920154037331e-164,0.08601380397439956,0.09930651879442023
C(block)[T.2],0.0028269516879500397,0.0043908719181366684,0.6438246755213253,0.5196891308231542,-0.005778999132326134,0.011432902508226215
C(block)[T.3],0.008299303370798511,0.0047640358914427085,1.7420740649133115,0.0814954850858527,-0.001038035397485369,0.017636642139082392
C(block)[T.4],0.0032990961196579013,0.005095357696294974,0.6474709561718892,0.5173271858483773,-0.006687621453429226,0.013285813692745028
C(block)[T.5],0.004222104859048628,0.005450242247060922,0.7746637062463462,0.43853840237950936,-0.006460173652209435,0.014904383370306692
C(block)[T.6],0.008147355797082501,0.006099168322571913,1.335814223544318,0.1816100027599149,-0.003806794450806023,0.020101506044971025
C(block)[T.7],0.003014642251917397,0.007036898257408054,0.4284049792454723,0.6683563001601209,-0.010777424895475056,0.01680670939930985
C(block)[T.8],0.00824695567941634,0.007954067200733049,1.0368224797819534,0.29981859695378865,-0.007342729564631761,0.02383664092346444
C(block)[T.9],0.008130789263247298,0.009790181789261712,0.8305044214976165,0.40625364901302097,-0.011057614445805563,0.02731919297230016
C(block)[T.10],0.002087286460793073,0.014006374039388625,0.14902404112036569,0.8815346627126619,-0.025364702210405425,0.029539275131991574
treat,0.01838593475916228,0.001898475937213687,9.684576137502454,3.5066002053104456e-22,0.01466499029670753,0.022106879221617033
baseline_activity,0.0009584799480063293,0.002353833390437938,0.40719957151597763,0.6838614162823894,-0.0036549487228598365,0.005571908618872495
pre_metric,0.0010312468698302837,0.001970780232009328,0.5232683244335499,0.6007875405998344,-0.002831411406351491,0.004893905146012059
