,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09797027279473872,0.0036986284824758755,26.488270789813704,1.3230583854010998e-154,0.09072109417689196,0.10521945141258547
C(block)[T.2],0.0037479795513766243,0.004785598862466568,0.7831787951915511,0.4335221251965603,-0.0056316218635137005,0.013127580966266948
C(block)[T.3],0.010537497672996063,0.005206123451045782,2.024058355911506,0.04296414776878456,0.0003336832098769539,0.020741312136115173
C(block)[T.4],0.004588848132833706,0.005464379767533707,0.8397747462755205,0.4010346954441605,-0.006121139409381713,0.015298835675049124
C(block)[T.5],0.005721683562831511,0.005817696497106589,0.9834964002809652,0.3253631861005062,-0.0056807920444822335,0.017124159170145255
C(block)[T.6],0.011970989416274447,0.0065273083348789925,1.8339855882564757,0.06665613346910133,-0.0008222998360764896,0.024764278668625385
C(block)[T.7],0.006342308546182343,0.0074976146790350084,0.8459101751276766,0.39760285577328836,-0.00835274619468511,0.021037363287049797
C(block)[T.8],0.012026183020966925,0.008385858138150647,1.4341028458679708,0.15154291590833507,-0.004409796909270455,0.028462162951204305
C(block)[T.9],0.012220526564486143,0.010194266019765322,1.1987647311530003,0.2306194400331809,-0.007759867683074373,0.03220092081204666
C(block)[T.10],0.008391039917028704,0.014695889280043655,0.5709787109258745,0.5680140739811015,-0.020412373792645128,0.03719445362670253
treat,0.020085063164485998,0.002045755680192983,9.817918805725279,9.426959899074715e-23,0.016075455710139512,0.024094670618832484
baseline_activity,-0.0005982850609419145,0.002531367245496775,-0.23634858276934942,0.813162190975173,-0.005559673693759954,0.004363103571876126
pre_metric,0.0020787489386931268,0.002144001292551796,0.9695651518096774,0.3322632902273511,-0.002123416377515718,0.006280914254901971
