,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.9945998683816544,0.0007598595953853868,1308.9258521203665,0.0,0.9931105709413919,0.9960891658219169
C(block)[T.2],0.0006583027622459841,0.0009793651051217668,0.6721729810499383,0.5014735796354272,-0.001261217571507963,0.002577823095999931
C(block)[T.3],0.001242998863217719,0.0009788008467170148,1.2699200939464323,0.2041130947436981,-0.0006754155443849401,0.0031614132708203783
C(block)[T.4],0.0026107111528334923,0.0009622403843551914,2.713158993615676,0.006664512187346181,0.0007247546550273383,0.0044966676506396465
C(block)[T.5],0.002082447962221649,0.0010246281794965859,2.0323938028376154,0.04211380496984483,7.421363286349908e-05,0.0040906822915797985
C(block)[T.6],0.0022520010931929104,0.00100376335595566,2.243557786634711,0.024860867882218775,0.00028466106651875824,0.004219341119867062
C(block)[T.7],0.0037210023256076872,0.000978465832215952,3.8028944937000566,0.00014301527377503414,0.00180324453436141,0.0056387601168539645
C(block)[T.8],0.003070533017875316,0.0010816600550254572,2.8387227610092807,0.004529449160000435,0.0009505182665098069,0.005190547769240826
C(block)[T.9],0.003805661752145837,0.0011604594234201492,3.2794440506412963,0.0010401183217035974,0.0015312030767222276,0.0060801204275694465
C(block)[T.10],0.0036468696019554044,0.0015122278653334688,2.411587357670608,0.015883246349210046,0.0006829574494839185,0.00661078175442689
treat,0.0005416514070282741,0.00030252994657801465,1.7904059190008028,0.07338867947360443,-5.129639250946118e-05,0.0011345992065660095
baseline_activity,1.532241431087631e-05,0.0003360957710248525,0.04558942906110919,0.9636374948002235,-0.0006434131922540552,0.0006740580208758079
pre_metric,3.230192316355275e-05,0.00031532444946634166,0.10244027451160498,0.9184072173641569,-0.0005857226412353971,0.0006503264875625026
